technical_know_how,personal_traits,social_characteristics,motivating_factors,age,city
Skilful,Strong-willed,Marginalised,"Religious
fundamentalism",65,Bhaktapur
Well-trained,Vengeful,Low self-worth,Lust,37,Dharan
Well trained,Strong-willed,Lack Social skills,"Religious
fundamentalism",17,Kathmandu
Opportunists,Selfish,"Insufficient social
support",Curiosity,39,Kathmandu
Well trained,Determined,Rebellious,"Enhancing self-
worth",51,Kathmandu
Well trained,Control freak,Low self-worth,Anger,63,Biratnagar
Resourceful,Strong-willed,Lack Social skills,Monetary Gain,44,Dhangadi
Well-networked,Insensitive,Need to outsmart others,Experimentation,43,Biratnagar
Bully,Determined,Socially inept,"Enhancing self-
worth",47,Kalaiya
Resourceful,Gullible,Misguided,"Greed (easy, quick money)",63,Bhaktapur
Well-networked,Conviction in Violence,Rebellious,Curiosity,41,Kathmandu
Smart,Strong-willed,Broken homes/families,Curiosity,35,Lalitpur
Well-networked,Coward,Inferiority complex,Plain boredom,18,Bharatpur
Smart,Conviction in Violence,Low self-worth,Need to Control others,50,Jitpur
Sharp (intelligent),Secretive,Rationalization,Intolerance,31,Nepalgunj
Resourceful,Determined,Misguided,Plain boredom,35,Tulsipur
Smart,Coercive,Lack Social skills,Experimentation,16,Bharatpur
Creative,Psychiatric conditions,Anti-state,Curiosity,40,Bharatpur
Strategic planners,Identity crisis,Rebellious,Revenge,49,Lalitpur
Strategic planners,Identity crisis,Intolerance to diversity of opinion,No fear of punishment,64,Butwal
Creative,Aggressive,Unlawful,"Religious
fundamentalism",19,Nepalgunj
Skilful,Secretive,Anti-establishment,Political beliefs,54,Nepalgunj
Sharp (intelligent),Selfish,Anti-establishment,No fear of punishment,35,Kathmandu
Smart,Passionate,Socially inept,Emotions,35,Ghorahi
Skilful,"Psychologically
Deviant",Reinforcement available,Revenge,24,Mahendranagar
Skilful,Determined,Need to outsmart others,Emotions,65,Butwal
Focussed,Loner,Low self-worth,Anger,53,Janakpur
Opportunists,Gullible,Radical,Intolerance,60,Mahendranagar
Opportunists,Coward,Socially inept,Lust,26,Tulsipur
Opportunists,Psychiatric conditions,Intolerance to diversity of opinion,Monetary Gain,58,Janakpur
Well trained,Conviction in Violence,Unlawful,Intolerance,63,Biratnagar
Opportunists,Inhuman Psyche,Marginalised,Political support,47,Bharatpur
Well-networked,Control freak,Marginalised,Risk tolerance,33,Birgunj
Focussed,Psychiatric conditions,Anti-state,Lust,54,Itahari
Opportunists,Coward,Socially inept,No fear of punishment,55,Tulsipur
Sharp (intelligent),Selfish,Reinforcement available,Experimentation,27,Butwal
Resourceful,Inhuman Psyche,Lack Social skills,Disregard for law,39,Butwal
Bully,Secretive,Marginalised,Disregard for law,36,Bhaktapur
Well-trained,Incited,Reinforcement available,"Concealed
existence",46,Nepalgunj
Goal oriented,Emotional,"Insufficient social
support",Anger,44,Itahari
Strategic planners,Vengeful,Anti-state,No fear of punishment,17,Dharan
Strategic planners,Incited,Inferiority complex,Curiosity,18,Kalaiya
Well-networked,Impatient,Lack Social skills,Curiosity,35,Bharatpur
Strategic planners,Secretive,Radical,Experimentation,25,Mahendranagar
Opportunists,Passionate,"Insufficient social
support",Need to Control others,37,Lalitpur
Well trained,Inhuman Psyche,Anti-establishment,"Concealed
existence",28,Kathmandu
Creative,Aggressive,Rebellious,Anger,24,Pokhara
Creative,Impatient,Anti-social,Need to Control others,39,Biratnagar
Bully,Coercive,Anti-social,Anger,25,Birgunj
Well-networked,Secretive,Reinforcement available,Disregard for law,41,Bharatpur
Strategic planners,Selfish,Lack Social skills,Need to Control others,56,Janakpur
Creative,Immoral/ Unethical,Misguided,Manipulate others,28,Nepalgunj
Strategic planners,Selfish,Lack Social skills,Political support,48,Itahari
Resourceful,Determined,Misguided,Political beliefs,41,Itahari
Smart,Chaotic state of mind,Radical,Thrill-seeking,31,Bhaktapur
Well-trained,Incited,Unlawful,No fear of punishment,22,Butwal
Well-organized,Coercive,Need to outsmart others,Thrill-seeking,40,Butwal
Focussed,Insensitive,Anti-establishment,Political beliefs,48,Bharatpur
Well-networked,Incited,Anti-state,"Concealed
existence",45,Biratnagar
Skilful,Secretive,Misguided,Revenge,50,Kalaiya
Strategic planners,Chaotic state of mind,Reinforcement available,No fear of punishment,43,Ghorahi
Well-organized,Incited,Social dissatisfaction,Anger,32,Pokhara
Goal oriented,Aggressive,Socially inept,Disregard for law,60,Bharatpur
Goal oriented,Identity crisis,Brain-washed,Intolerance,42,Bhaktapur
Goal oriented,Risk-taker,Misguided,Experimentation,33,Mahendranagar
Resourceful,Emotional,Misguided,Curiosity,55,Tulsipur
Sharp (intelligent),Conviction in Violence,Need to outsmart others,Emotions,61,Pokhara
Sharp (intelligent),Coercive,Marginalised,Risk tolerance,31,Biratnagar
Well-organized,Determined,"Insufficient social
support",Experimentation,45,Bhaktapur
Creative,Determined,Mass-destruction,Plain boredom,36,Tulsipur
Focussed,Psychiatric conditions,Rebellious,Disregard for law,48,Kalaiya
Well-networked,Identity crisis,Misguided,Risk tolerance,28,Jitpur
Well-trained,Impatient,Anti-state,"Concealed
existence",18,Dhangadi
Well-trained,Control freak,Need to outsmart others,Plain boredom,18,Kathmandu
Focussed,Conviction in Violence,Brain-washed,Plain boredom,36,Hetauda
Smart,Chaotic state of mind,Rationalization,Need to Control others,30,Ghorahi
Well trained,Psychiatric conditions,Lack Social skills,Thrill-seeking,26,Dharan
Well-networked,Risk-taker,Broken homes/families,Monetary Gain,50,Bharatpur
Creative,Immoral/ Unethical,Low self-worth,Curiosity,42,Pokhara
Strategic planners,Risk-taker,Intolerance to diversity of opinion,Monetary Gain,49,Dhangadi
Goal oriented,Emotional,Social dissatisfaction,Plain boredom,62,Janakpur
Sharp (intelligent),Gullible,"Insufficient social
support",Plain boredom,42,Ghorahi
Opportunists,Loner,Unlawful,"Religious
fundamentalism",61,Kalaiya
Focussed,"Psychologically
Deviant",Intolerance to diversity of opinion,Anger,18,Mahendranagar
Focussed,Passionate,Marginalised,Curiosity,44,Dharan
Skilful,Coward,Marginalised,Political support,48,Nepalgunj
Well-organized,"Psychologically
Deviant",Marginalised,"Religious
fundamentalism",29,Hetauda
Focussed,Psychiatric conditions,Rationalization,"Concealed
existence",54,Pokhara
Creative,Coercive,Misguided,Anger,21,Kalaiya
Creative,Coward,Need to outsmart others,"Greed (easy, quick money)",36,Hetauda
Focussed,Loner,Rebellious,Thrill-seeking,52,Tulsipur
Smart,Control freak,Low self-worth,Experimentation,54,Itahari
Resourceful,Determined,Rationalization,"Enhancing self-
worth",32,Bharatpur
Strategic planners,Passionate,Lack Social skills,"Concealed
existence",29,Tulsipur
Creative,Secretive,Reinforcement available,Political beliefs,23,Nepalgunj
Skilful,Coward,Anti-state,Political beliefs,31,Kathmandu
Smart,Incited,Anti-establishment,Manipulate others,35,Nepalgunj
Creative,Incited,Rationalization,Thrill-seeking,58,Mahendranagar
Goal oriented,Control freak,Unlawful,Risk tolerance,43,Biratnagar
Sharp (intelligent),Insensitive,Lack Social skills,Curiosity,28,Pokhara
Sharp (intelligent),Selfish,Low self-worth,Revenge,40,Mahendranagar
Well-organized,Strong-willed,Anti-state,Risk tolerance,39,Kathmandu
Focussed,Secretive,Social dissatisfaction,"Religious
fundamentalism",52,Jitpur
Creative,Passionate,Anti-state,"Concealed
existence",28,Jitpur
Well-organized,Chaotic state of mind,Brain-washed,"Greed (easy, quick money)",26,Kathmandu
Well-networked,Conviction in Violence,Lack Social skills,Thrill-seeking,34,Biratnagar
Bully,Coward,Rationalization,"Enhancing self-
worth",51,Jitpur
Resourceful,Coward,Need to outsmart others,Political beliefs,26,Bhaktapur
Well-networked,Coward,Low self-worth,Manipulate others,45,Tulsipur
Skilful,Insensitive,Marginalised,Political beliefs,47,Pokhara
Well-networked,Impatient,Rebellious,Thrill-seeking,44,Butwal
Goal oriented,Loner,Intolerance to diversity of opinion,Lust,41,Janakpur
Smart,Chaotic state of mind,Inferiority complex,Emotions,65,Kalaiya
Well trained,Vengeful,Unlawful,Need to Control others,23,Tulsipur
Strategic planners,Immoral/ Unethical,Anti-state,Anger,60,Nepalgunj
Well-trained,Gullible,Socially inept,Political support,50,Mahendranagar
Well-networked,Secretive,Inferiority complex,Plain boredom,28,Nepalgunj
Focussed,Secretive,Social dissatisfaction,Curiosity,34,Bharatpur
Strategic planners,Conviction in Violence,Broken homes/families,Curiosity,28,Dharan
Sharp (intelligent),Coward,Rebellious,Anger,36,Birgunj
Well-organized,Vengeful,Reinforcement available,"Concealed
existence",17,Bhaktapur
Well trained,Determined,Broken homes/families,Experimentation,36,Kalaiya
Resourceful,Gullible,Unlawful,Political beliefs,46,Nepalgunj
Well-networked,Insensitive,Rebellious,Revenge,19,Kathmandu
Skilful,Selfish,"Insufficient social
support",Experimentation,17,Itahari
Bully,Chaotic state of mind,Rebellious,Plain boredom,26,Ghorahi
Skilful,Vengeful,Social dissatisfaction,"Religious
fundamentalism",63,Dharan
Creative,Immoral/ Unethical,Inferiority complex,Plain boredom,38,Pokhara
Opportunists,Determined,Social dissatisfaction,Anger,21,Dhangadi
Creative,Inhuman Psyche,Reinforcement available,Intolerance,48,Butwal
Strategic planners,Risk-taker,Rebellious,"Religious
fundamentalism",25,Dharan
Focussed,Vengeful,Lack Social skills,"Religious
fundamentalism",64,Biratnagar
Focussed,Risk-taker,Mass-destruction,Experimentation,47,Nepalgunj
Well-networked,Loner,Anti-establishment,Emotions,54,Butwal
Well trained,Identity crisis,Brain-washed,Thrill-seeking,59,Itahari
Well-trained,Passionate,Broken homes/families,Curiosity,41,Pokhara
Opportunists,Loner,Intolerance to diversity of opinion,"Religious
fundamentalism",40,Jitpur
Well-organized,Inhuman Psyche,Intolerance to diversity of opinion,Political support,34,Tulsipur
Skilful,Secretive,Broken homes/families,Risk tolerance,32,Kathmandu
Goal oriented,Vengeful,Inferiority complex,"Greed (easy, quick money)",45,Kathmandu
Smart,Psychiatric conditions,Radical,Manipulate others,37,Butwal
Well trained,"Psychologically
Deviant",Lack Social skills,Anger,27,Ghorahi
Well-organized,Determined,Anti-social,Intolerance,61,Janakpur
Bully,Control freak,Rationalization,Intolerance,19,Itahari
Sharp (intelligent),Aggressive,Misguided,Anger,21,Nepalgunj
Well-organized,Loner,Broken homes/families,Monetary Gain,23,Mahendranagar
Bully,Loner,Misguided,Thrill-seeking,40,Butwal
Opportunists,Loner,Rebellious,"Enhancing self-
worth",28,Kalaiya
Goal oriented,Coercive,Need to outsmart others,Anger,26,Bharatpur
Bully,Incited,Anti-social,No fear of punishment,52,Bhaktapur
Goal oriented,Selfish,Rationalization,Political support,63,Kalaiya
Resourceful,Vengeful,Intolerance to diversity of opinion,"Concealed
existence",43,Biratnagar
Strategic planners,"Psychologically
Deviant",Intolerance to diversity of opinion,Plain boredom,64,Biratnagar
Smart,Loner,Anti-establishment,Intolerance,41,Itahari
Goal oriented,Vengeful,Anti-establishment,Disregard for law,51,Kalaiya
Opportunists,"Psychologically
Deviant",Misguided,Risk tolerance,42,Kalaiya
Resourceful,Gullible,Reinforcement available,Anger,29,Nepalgunj
Smart,Incited,Need to outsmart others,Disregard for law,49,Itahari
Creative,Secretive,Lack Social skills,Political support,22,Tulsipur
Well trained,Incited,Intolerance to diversity of opinion,Political beliefs,45,Butwal
Well-networked,Determined,Intolerance to diversity of opinion,"Enhancing self-
worth",56,Bharatpur
Well trained,Identity crisis,Lack Social skills,Risk tolerance,51,Kathmandu
Well-trained,Impatient,Broken homes/families,Thrill-seeking,65,Tulsipur
Focussed,Risk-taker,Low self-worth,"Greed (easy, quick money)",34,Lalitpur
Focussed,Vengeful,Socially inept,Intolerance,51,Biratnagar
Skilful,Strong-willed,Unlawful,Need to Control others,27,Kathmandu
Sharp (intelligent),Vengeful,Brain-washed,"Greed (easy, quick money)",26,Birgunj
Strategic planners,Identity crisis,Unlawful,"Greed (easy, quick money)",48,Butwal
Goal oriented,"Psychologically
Deviant",Anti-state,"Greed (easy, quick money)",45,Lalitpur
Creative,Control freak,Brain-washed,Political support,41,Kathmandu
Bully,Incited,Reinforcement available,Need to Control others,24,Mahendranagar
Well-trained,Control freak,Broken homes/families,Revenge,33,Hetauda
Strategic planners,Selfish,Mass-destruction,Revenge,56,Nepalgunj
Well-networked,Loner,Misguided,Intolerance,18,Janakpur
Skilful,Coercive,Lack Social skills,Political support,37,Birgunj
Well-networked,Immoral/ Unethical,Lack Social skills,Intolerance,23,Dharan
Skilful,Emotional,Brain-washed,Monetary Gain,60,Hetauda
Strategic planners,Conviction in Violence,Anti-establishment,Plain boredom,49,Mahendranagar
Creative,Secretive,Rationalization,Thrill-seeking,49,Hetauda
Opportunists,Psychiatric conditions,Rationalization,Disregard for law,43,Lalitpur
Goal oriented,Insensitive,Reinforcement available,No fear of punishment,25,Kalaiya
Bully,Secretive,Misguided,Lust,29,Tulsipur
Well trained,Psychiatric conditions,Inferiority complex,Need to Control others,51,Butwal
Well-trained,Insensitive,Marginalised,Intolerance,28,Birgunj
Bully,Vengeful,Low self-worth,No fear of punishment,47,Hetauda
Focussed,Inhuman Psyche,Anti-state,Plain boredom,42,Bhaktapur
Well-organized,Conviction in Violence,Anti-state,Political beliefs,21,Tulsipur
Well-trained,Selfish,Brain-washed,No fear of punishment,27,Dharan
Resourceful,Coward,Lack Social skills,Curiosity,28,Nepalgunj
Bully,Control freak,Misguided,"Enhancing self-
worth",39,Biratnagar
Focussed,Chaotic state of mind,Inferiority complex,Political support,58,Nepalgunj
Goal oriented,Coward,Unlawful,Disregard for law,24,Itahari
Smart,Vengeful,Intolerance to diversity of opinion,Risk tolerance,31,Kalaiya
Well trained,Immoral/ Unethical,Unlawful,No fear of punishment,27,Jitpur
Goal oriented,Immoral/ Unethical,Inferiority complex,Lust,16,Jitpur
Skilful,Selfish,Reinforcement available,No fear of punishment,63,Mahendranagar
Well-networked,"Psychologically
Deviant",Intolerance to diversity of opinion,Risk tolerance,29,Jitpur
Creative,Loner,Mass-destruction,"Greed (easy, quick money)",57,Pokhara
Opportunists,Identity crisis,Anti-establishment,Emotions,20,Nepalgunj
Bully,Determined,"Insufficient social
support",Need to Control others,65,Janakpur
Goal oriented,Control freak,Socially inept,Revenge,58,Biratnagar
Focussed,Chaotic state of mind,Anti-state,Political beliefs,19,Butwal
Creative,Emotional,Need to outsmart others,Lust,29,Janakpur
Well-organized,Immoral/ Unethical,Mass-destruction,Intolerance,19,Biratnagar
Sharp (intelligent),Immoral/ Unethical,Socially inept,Curiosity,59,Janakpur
Sharp (intelligent),Passionate,Socially inept,Lust,17,Birgunj
Resourceful,Psychiatric conditions,Low self-worth,No fear of punishment,27,Janakpur
Sharp (intelligent),Psychiatric conditions,Unlawful,Manipulate others,21,Hetauda
Strategic planners,Impatient,Inferiority complex,"Enhancing self-
worth",36,Dharan
Focussed,Identity crisis,Need to outsmart others,Thrill-seeking,61,Tulsipur
Sharp (intelligent),Incited,Anti-state,"Concealed
existence",31,Kathmandu
Creative,Aggressive,Brain-washed,Curiosity,47,Kathmandu
Smart,Aggressive,Brain-washed,Manipulate others,50,Nepalgunj
Opportunists,Vengeful,Brain-washed,Disregard for law,34,Bhaktapur
Opportunists,Identity crisis,Marginalised,Disregard for law,34,Hetauda
Skilful,Conviction in Violence,Radical,"Religious
fundamentalism",63,Nepalgunj
Skilful,Coward,Anti-establishment,"Concealed
existence",43,Pokhara
Skilful,Risk-taker,Marginalised,Experimentation,26,Mahendranagar
Bully,Control freak,Brain-washed,Risk tolerance,49,Hetauda
Well-networked,Chaotic state of mind,Unlawful,"Greed (easy, quick money)",42,Birgunj
Bully,Incited,Marginalised,Revenge,56,Nepalgunj
Opportunists,Immoral/ Unethical,Misguided,Anger,50,Ghorahi
Skilful,Emotional,Unlawful,Thrill-seeking,63,Tulsipur
Goal oriented,Identity crisis,Marginalised,Lust,56,Pokhara
Smart,Coercive,Marginalised,Curiosity,38,Kalaiya
Resourceful,"Psychologically
Deviant",Rationalization,Disregard for law,24,Biratnagar
Focussed,Inhuman Psyche,Reinforcement available,"Religious
fundamentalism",42,Kalaiya
Well-organized,Inhuman Psyche,Need to outsmart others,No fear of punishment,42,Kalaiya
Well-organized,Passionate,Inferiority complex,Plain boredom,24,Dhangadi
Well-trained,Selfish,Need to outsmart others,Emotions,19,Kathmandu
Well-trained,Insensitive,Low self-worth,Political beliefs,40,Itahari
Opportunists,Gullible,Broken homes/families,Political support,57,Bharatpur
Focussed,Impatient,Broken homes/families,No fear of punishment,38,Hetauda
Sharp (intelligent),Immoral/ Unethical,Rationalization,Experimentation,32,Kathmandu
Goal oriented,Psychiatric conditions,Anti-state,Manipulate others,64,Itahari
